School Year,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2020-2021,Mathematics,8,N,SOL,Geometry,"           8,786",    92.74
2020-2021,Mathematics,8,N,SOL,Mathematics,"          14,413",    35.91
2020-2021,Mathematics,8,Y,SOL,Algebra I,"           8,328",    62.92
2020-2021,Mathematics,8,Y,SOL,Geometry,"           1,570",    80.00
2020-2021,Mathematics,8,Y,SOL,Mathematics,"          17,508",    22.40
2021-2022,Mathematics,8,N,SOL,Algebra I,"          20,935",    92.73
2021-2022,Mathematics,8,N,SOL,Geometry,"          10,012",    96.77
2021-2022,Mathematics,8,N,SOL,Mathematics,"          23,854",    55.29
2021-2022,Mathematics,8,Y,SOL,Algebra I,"           9,861",    82.57
2021-2022,Mathematics,8,Y,SOL,Geometry,"           1,824",    90.19
2021-2022,Mathematics,8,Y,SOL,Mathematics,"          28,966",    38.38
2022-2023,Mathematics,8,N,SOL,Algebra I,"          21,988",    93.22
2022-2023,Mathematics,8,N,SOL,Geometry,"           8,837",    96.83
2022-2023,Mathematics,8,N,SOL,Mathematics,"          22,451",    57.73
2022-2023,Mathematics,8,Y,SOL,Algebra I,"          10,311",    81.83
2022-2023,Mathematics,8,Y,SOL,Geometry,"           1,589",    85.90
2022-2023,Mathematics,8,Y,SOL,Mathematics,"          28,010",    40.96
2023-2024,Mathematics,8,N,SOL,Algebra I,"          21,933",    95.09
2023-2024,Mathematics,8,N,SOL,Geometry,"           8,304",    97.76
2023-2024,Mathematics,8,N,SOL,Mathematics,"          22,281",    59.23
2023-2024,Mathematics,8,Y,SOL,Algebra I,"          10,242",    85.60
2023-2024,Mathematics,8,Y,SOL,Geometry,"           1,540",    90.71
2023-2024,Mathematics,8,Y,SOL,Mathematics,"          27,140",    42.59
2024-2025,Mathematics,8,N,SOL,Algebra I,"          22,084",    95.25
2024-2025,Mathematics,8,N,SOL,Geometry,"           8,893",    98.20
2024-2025,Mathematics,8,N,SOL,Mathematics,"          23,305",    59.15
2024-2025,Mathematics,8,Y,SOL,Algebra I,"           9,876",    84.36
2024-2025,Mathematics,8,Y,SOL,Geometry,"           1,687",    89.03
2024-2025,Mathematics,8,Y,SOL,Mathematics,"          25,382",    42.49
