School Year,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2017-2018,Mathematics,8,Y,SOL,Geometry,              28,    96.43
2017-2018,Mathematics,8,Y,SOL,Mathematics,"           3,717",    33.63
2018-2019,Mathematics,8,N,SOL,Algebra I,"          33,222",    94.92
2018-2019,Mathematics,8,N,SOL,Geometry,"          13,040",    98.87
2018-2019,Mathematics,8,N,SOL,Mathematics,"          39,028",    69.67
2018-2019,Mathematics,8,Y,SOL,Algebra I,             695,    69.78
2018-2019,Mathematics,8,Y,SOL,Geometry,              19,100.00
2018-2019,Mathematics,8,Y,SOL,Mathematics,"           3,666",    40.89
2020-2021,Mathematics,8,N,SOL,Algebra I,"          25,090",    75.29
2020-2021,Mathematics,8,N,SOL,Geometry,"          10,217",    90.85
2020-2021,Mathematics,8,N,SOL,Mathematics,"          27,393",    30.84
2020-2021,Mathematics,8,Y,SOL,Algebra I,             544,    37.87
2020-2021,Mathematics,8,Y,SOL,Geometry,              16,100.00
2020-2021,Mathematics,8,Y,SOL,Mathematics,"           3,014",     9.42
2021-2022,Mathematics,8,N,SOL,Algebra I,"          27,798",    90.90
2021-2022,Mathematics,8,N,SOL,Geometry,"          11,492",    95.81
2021-2022,Mathematics,8,N,SOL,Mathematics,"          43,411",    49.24
2021-2022,Mathematics,8,Y,SOL,Algebra I,             944,    52.44
2021-2022,Mathematics,8,Y,SOL,Geometry,              44,    79.55
2021-2022,Mathematics,8,Y,SOL,Mathematics,"           5,719",    19.51
2022-2023,Mathematics,8,N,SOL,Algebra I,"          28,853",    91.12
2022-2023,Mathematics,8,N,SOL,Geometry,"          10,160",    95.39
2022-2023,Mathematics,8,N,SOL,Mathematics,"          40,973",    52.34
2022-2023,Mathematics,8,Y,SOL,Algebra I,"           1,283",    58.22
2022-2023,Mathematics,8,Y,SOL,Geometry,              41,    63.41
2022-2023,Mathematics,8,Y,SOL,Mathematics,"           5,777",    19.20
2023-2024,Mathematics,8,N,SOL,Algebra I,"          28,561",    93.47
2023-2024,Mathematics,8,N,SOL,Geometry,"           9,549",    96.90
2023-2024,Mathematics,8,N,SOL,Mathematics,"          39,464",    54.39
2023-2024,Mathematics,8,Y,SOL,Algebra I,"           1,577",    67.15
2023-2024,Mathematics,8,Y,SOL,Geometry,              75,    82.67
2023-2024,Mathematics,8,Y,SOL,Mathematics,"           6,870",    22.56
2024-2025,Mathematics,8,N,SOL,Algebra I,"          28,487",    93.24
2024-2025,Mathematics,8,N,SOL,Geometry,"          10,264",    96.90
2024-2025,Mathematics,8,N,SOL,Mathematics,"          38,216",    55.12
2024-2025,Mathematics,8,Y,SOL,Algebra I,"           1,498",    65.02
2024-2025,Mathematics,8,Y,SOL,Geometry,              93,    77.42
2024-2025,Mathematics,8,Y,SOL,Mathematics,"           7,856",    24.95
