School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              33,    90.91
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              33,100.00
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              60,    55.00
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              73,    91.78
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              53,100.00
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              45,    46.67
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2015-2016,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              14,<50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              63,    93.65
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              42,100.00
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              58,    60.34
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              27,    55.56
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              33,    81.82
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              31,100.00
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              74,    50.00
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              13,<50
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             151,    98.01
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              73,100.00
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              43,    74.42
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              19,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              28,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              78,    79.49
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              71,    85.92
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              72,100.00
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              34,    35.29
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2015-2016,2,Albemarle County ,890,Murray High,Mathematics,8,N,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              12,<50
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              61,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              42,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              48,    52.08
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              17,    70.59
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              37,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              39,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              78,    78.21
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              17,<50
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             151,    95.36
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              72,100.00
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              42,    59.52
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              16,    87.50
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              33,100.00
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              46,    84.78
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              73,    86.30
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              59,100.00
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              34,    61.76
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2016-2017,2,Albemarle County ,890,Murray High,Mathematics,8,N,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Algebra I,<,<50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              11,<50
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              49,    93.88
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              37,100.00
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              60,    50.00
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              19,<50
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              48,    97.92
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              39,100.00
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              57,    66.67
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              18,<50
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             146,    93.84
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              74,100.00
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              61,    65.57
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              25,    96.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              27,100.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              59,    66.10
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              82,    93.90
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              69,100.00
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              45,    48.89
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              12,<50
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              63,    98.41
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              41,100.00
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              57,    61.40
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              12,    50.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              60,    95.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              43,100.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              78,    74.36
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              13,    53.85
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             155,    98.71
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              84,100.00
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              58,    70.69
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              42,    95.24
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              31,100.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              50,    72.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              64,    98.44
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              63,100.00
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              39,    56.41
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              43,    97.67
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              11,100.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              24,    70.83
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              20,100.00
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              44,    61.36
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,<50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              34,100.00
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,<,>50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              21,    66.67
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              53,    60.38
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              68,    88.24
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              16,<50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Mathematics,<,<50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Geometry,<,>50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Mathematics,              10,100.00
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,Y,SOL,Mathematics,<,<50
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              75,    90.67
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              32,    96.88
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              66,    31.82
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              44,      .00
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              59,    88.14
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              42,100.00
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              61,    13.11
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              14,<50
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              77,    83.12
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,             123,    99.19
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              85,    30.59
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Algebra I,              59,    89.83
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Geometry,              70,    98.57
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Mathematics,              33,    51.52
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              29,    79.31
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              24,    95.83
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              39,    58.97
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Geometry,              15,100.00
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Mathematics,              12,    91.67
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              40,100.00
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              56,100.00
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              67,    35.82
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              27,    14.81
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             105,    95.24
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              68,    98.53
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              85,    47.06
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Algebra I,              57,    78.95
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Geometry,              41,    97.56
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Mathematics,              79,    30.38
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Mathematics,              30,    13.33
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Algebra I,              57,    94.74
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Geometry,              54,100.00
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Mathematics,              48,    47.92
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              35,    71.43
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              36,    97.22
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              38,    60.53
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Algebra I,<,>50
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Geometry,              17,100.00
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Mathematics,<,>50
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              24,    95.83
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              44,100.00
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              78,    41.03
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              24,    37.50
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              99,    93.94
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              85,100.00
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              76,    55.26
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Algebra I,              29,    82.76
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Algebra I,              15,    66.67
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Geometry,              48,    85.42
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Mathematics,              57,    26.32
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Mathematics,              42,    16.67
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Algebra I,              33,    96.97
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Geometry,              78,    96.15
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Mathematics,              31,    48.39
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Mathematics,              14,    50.00
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              24,    87.50
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,<50
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              19,    94.74
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              57,    54.39
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2024-2025,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Algebra I,              14,    92.86
2024-2025,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Geometry,              11,100.00
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              32,    75.00
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              51,    92.16
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              74,    51.35
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              27,    22.22
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             113,    95.58
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              69,100.00
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              79,    54.43
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Algebra I,              35,    88.57
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Geometry,              37,    97.30
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,N,SOL,Mathematics,              65,    50.77
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,Y,SOL,Mathematics,              56,     8.93
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Algebra I,              52,    88.46
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Geometry,              63,    93.65
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,N,SOL,Mathematics,              35,    65.71
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,Y,SOL,Mathematics,              16,    50.00
2024-2025,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              22,    77.27
