School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,SOL,Mathematics,<,<50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Geometry,<,>50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Mathematics,              12,    91.67
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              88,    92.05
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              32,    96.88
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,             118,    20.34
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              70,    87.14
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              45,100.00
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              84,    13.10
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              78,    83.33
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,             123,    99.19
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              90,    31.11
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Algebra I,              67,    91.04
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Geometry,              73,    98.63
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Mathematics,              40,    50.00
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              31,    80.65
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              25,    96.00
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              45,    60.00
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Geometry,              15,100.00
2022-2023,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Mathematics,              13,    92.31
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              46,100.00
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              56,100.00
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,             109,    31.19
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             105,    95.24
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              68,    98.53
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              89,    44.94
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Algebra I,              68,    80.88
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Geometry,              42,    97.62
2022-2023,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Mathematics,             118,    25.42
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Algebra I,              62,    95.16
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Geometry,              55,100.00
2022-2023,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Mathematics,              57,    40.35
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              36,    69.44
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              37,    97.30
2022-2023,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              42,    59.52
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Algebra I,<,>50
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Geometry,              17,100.00
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Mathematics,<,>50
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              26,    96.15
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              46,100.00
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,             102,    40.20
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             103,    94.17
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              85,100.00
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              82,    53.66
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Algebra I,              44,    77.27
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Geometry,              50,    84.00
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Mathematics,              99,    22.22
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Algebra I,              35,    97.14
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Geometry,              80,    96.25
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Mathematics,              45,    48.89
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              25,    84.00
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              19,    94.74
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              59,    54.24
2024-2025,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Algebra I,              14,    92.86
2024-2025,2,Albemarle County ,890,Community Lab School,Mathematics,8,SOL,Geometry,              11,100.00
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              34,    76.47
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              52,    92.31
2024-2025,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,             101,    43.56
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             116,    94.83
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              69,100.00
2024-2025,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              84,    53.57
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Algebra I,              40,    87.50
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Geometry,              39,    97.44
2024-2025,2,Albemarle County ,950,Journey Middle,Mathematics,8,SOL,Mathematics,             121,    31.40
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Algebra I,              57,    89.47
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Geometry,              66,    93.94
2024-2025,2,Albemarle County ,1051,Lakeside Middle,Mathematics,8,SOL,Mathematics,              51,    60.78
2024-2025,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              24,    79.17
2024-2025,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              30,100.00
2024-2025,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              63,    61.90
