School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              22,100.00
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              54,    83.33
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              67,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              50,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              69,    98.55
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              70,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              37,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              55,    90.91
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              59,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              21,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              70,    94.29
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              90,100.00
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              55,100.00
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              87,    90.80
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              41,100.00
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              24,100.00
2009-2010,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              52,    82.69
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              68,100.00
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              51,100.00
2009-2010,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              65,    95.38
2010-2011,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              16,    87.50
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              91,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              42,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              72,    91.67
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              57,100.00
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              19,100.00
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              76,    82.89
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,              95,100.00
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              50,100.00
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,             108,    94.44
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              50,100.00
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              18,100.00
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              46,    80.43
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              69,100.00
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              54,    98.15
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              66,    95.45
2011-2012,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              73,    98.63
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              31,100.00
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              55,    72.73
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              66,    95.45
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              32,100.00
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              56,    42.86
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             110,    99.09
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              50,100.00
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,             110,    96.36
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              29,    75.86
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              40,100.00
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              55,    41.82
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              66,    95.45
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              69,100.00
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              44,    50.00
2012-2013,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              18,<50
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              61,    86.89
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              41,100.00
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              65,    52.31
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              54,    98.15
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              39,100.00
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              68,    58.82
