School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2006-2007,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              17,    70.59
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              59,    98.31
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              26,100.00
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              36,    97.22
2007-2008,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              37,    83.78
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              46,100.00
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              21,100.00
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              49,    93.88
2007-2008,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              25,    84.00
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              81,100.00
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              36,100.00
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              94,    88.30
2007-2008,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              20,    75.00
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              32,100.00
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              26,100.00
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              53,    75.47
2007-2008,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              30,    66.67
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              48,100.00
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              50,100.00
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              54,    83.33
2007-2008,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              69,100.00
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              10,100.00
