School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              33,    51.52
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              17,<50
2013-2014,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2013-2014,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              68,    94.12
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              28,    96.43
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              50,100.00
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              22,    72.73
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              58,    50.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              42,    97.62
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              16,100.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              44,100.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              29,    58.62
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              52,    50.00
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             125,    97.60
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              67,100.00
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              33,    93.94
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              19,    78.95
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              15,    93.33
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,              18,    94.44
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              21,100.00
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              22,    68.18
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              24,    58.33
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              81,    93.83
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              60,100.00
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              30,    43.33
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2014-2015,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2014-2015,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              43,100.00
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              23,100.00
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              31,100.00
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              24,    79.17
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              51,    64.71
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              57,    94.74
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              13,100.00
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              38,100.00
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              26,    53.85
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              35,    42.86
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             133,    99.25
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,              18,100.00
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              62,100.00
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              39,    94.87
2014-2015,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              12,<50
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              18,    94.44
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,              15,    86.67
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              29,100.00
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              25,    60.00
2014-2015,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              38,    47.37
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              66,    92.42
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              52,100.00
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              33,    42.42
2014-2015,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              15,<50
2015-2016,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2015-2016,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              49,    93.88
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              23,    95.65
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              41,100.00
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              16,    75.00
2015-2016,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              72,    56.94
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              28,    85.71
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              28,100.00
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              39,    58.97
2015-2016,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              48,    39.58
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             143,    97.90
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              72,100.00
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              30,    83.33
2015-2016,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              14,    57.14
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              14,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              26,100.00
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              31,    80.65
2015-2016,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              47,    78.72
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              60,    88.33
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,              14,    78.57
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              70,100.00
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              24,    41.67
2015-2016,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              13,<50
2015-2016,2,Albemarle County ,890,Murray High,Mathematics,8,N,SOL,Algebra I,<,>50
2015-2016,2,Albemarle County ,890,Murray High,Mathematics,8,Y,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2016-2017,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              45,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              24,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              35,100.00
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              26,    69.23
2016-2017,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              50,    60.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              31,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              35,100.00
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              52,    84.62
2016-2017,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              51,    62.75
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             136,    97.06
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,              15,    80.00
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              71,100.00
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              29,    58.62
2016-2017,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              16,    56.25
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              14,    92.86
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              30,100.00
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              23,    82.61
2016-2017,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              23,    86.96
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              64,    87.50
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,              14,    78.57
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              56,100.00
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              22,    68.18
2016-2017,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              18,    50.00
2016-2017,2,Albemarle County ,890,Murray High,Mathematics,8,N,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Algebra I,<,<50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2017-2018,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              32,    90.63
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              22,100.00
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              35,100.00
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              16,    56.25
2017-2018,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              71,    46.48
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              42,    97.62
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              11,100.00
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              35,100.00
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              25,    76.00
2017-2018,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              58,    60.34
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             141,    95.04
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              72,100.00
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              46,    76.09
2017-2018,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              16,<50
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              17,100.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              25,100.00
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              27,    77.78
2017-2018,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              33,    57.58
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              76,    94.74
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              63,100.00
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              32,    43.75
2017-2018,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              18,    55.56
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,<50
2018-2019,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,>50
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              43,100.00
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              30,    96.67
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              34,100.00
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              16,    81.25
2018-2019,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              60,    56.67
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              53,    94.34
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              39,100.00
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              33,    78.79
2018-2019,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              64,    68.75
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             144,    99.31
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,              13,    92.31
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              81,100.00
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              38,    76.32
2018-2019,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              20,    60.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              30,100.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,              12,    83.33
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              26,100.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              25,    76.00
2018-2019,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              28,    67.86
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              57,    98.25
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              59,100.00
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              23,    56.52
2018-2019,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              18,    50.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              28,100.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              20,    95.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              10,100.00
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              17,    76.47
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              13,    61.54
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              16,100.00
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              11,<50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              44,    61.36
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,<50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              33,100.00
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,<,>50
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              12,    58.33
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,              10,    80.00
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              42,    66.67
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,              17,    52.94
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              67,    88.06
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              13,<50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,Y,SOL,Algebra I,<,<50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,N,SOL,Mathematics,<,<50
2020-2021,2,Albemarle County ,890,Murray School,Mathematics,8,Y,SOL,Mathematics,<,<50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,N,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,8,Y,SOL,Algebra I,<,>50
