"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2011-2012",NA,"Albemarle County","All Students","Geometry",100,222
"2011-2012",NA,"Albemarle County","All Students","Mathematics",67.48,329
"2011-2012",NA,"Albemarle County","Economically Advantaged","Algebra I",96.33,300
"2011-2012",NA,"Albemarle County","Economically Advantaged","Geometry",100,209
"2011-2012",NA,"Albemarle County","Economically Advantaged","Mathematics",73.12,186
"2011-2012",NA,"Albemarle County","Economically Disadvantaged","Algebra I",90.91,44
"2011-2012",NA,"Albemarle County","Economically Disadvantaged","Geometry",100,13
"2011-2012",NA,"Albemarle County","Economically Disadvantaged","Mathematics",60.14,143
"2011-2012",NA,"Albemarle County","Non-English Learners","Algebra I",95.43,328
"2011-2012",NA,"Albemarle County","Non-English Learners","Geometry",100,218
"2011-2012",NA,"Albemarle County","Non-English Learners","Mathematics",67.96,309
"2011-2012",NA,"Albemarle County","English Learners","Algebra I",100,10
"2011-2012",NA,"Albemarle County","English Learners","Geometry",NA,NA
"2011-2012",NA,"Albemarle County","English Learners","Mathematics",60,20
"2011-2012",NA,"Albemarle County","American Indian","Algebra I",NA,NA
"2011-2012",NA,"Albemarle County","American Indian","Mathematics",NA,NA
"2011-2012",NA,"Albemarle County","Asian","Algebra I",100,11
"2011-2012",NA,"Albemarle County","Asian","Geometry",100,18
"2011-2012",NA,"Albemarle County","Asian","Mathematics",NA,NA
"2011-2012",NA,"Albemarle County","Black","Algebra I",91.67,24
"2011-2012",NA,"Albemarle County","Black","Geometry",NA,NA
"2011-2012",NA,"Albemarle County","Black","Mathematics",47.3,74
"2011-2012",NA,"Albemarle County","Hispanic","Algebra I",95.45,22
"2011-2012",NA,"Albemarle County","Hispanic","Geometry",NA,NA
"2011-2012",NA,"Albemarle County","Hispanic","Mathematics",70.37,27
"2011-2012",NA,"Albemarle County","White","Algebra I",95.94,271
"2011-2012",NA,"Albemarle County","White","Geometry",100,183
"2011-2012",NA,"Albemarle County","White","Mathematics",72.41,203
"2011-2012",NA,"Albemarle County","Native Hawaiian  or Pacific Islander","Geometry",NA,NA
"2011-2012",NA,"Albemarle County","Multiple Races","Algebra I",93.33,15
"2011-2012",NA,"Albemarle County","Multiple Races","Geometry",NA,NA
"2011-2012",NA,"Albemarle County","Multiple Races","Mathematics",84.21,19
"2011-2012",1060,"Albemarle County Community Public Charter","All Students","Mathematics",NA,NA
"2011-2012",1060,"Albemarle County Community Public Charter","Economically Advantaged","Mathematics",NA,NA
"2011-2012",1060,"Albemarle County Community Public Charter","Economically Disadvantaged","Mathematics",NA,NA
"2011-2012",1060,"Albemarle County Community Public Charter","Non-English Learners","Mathematics",NA,NA
"2011-2012",1060,"Albemarle County Community Public Charter","White","Mathematics",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",98.63,73
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,31
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",72.73,55
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",100,58
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",93.33,15
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,28
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Geometry",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",61.11,18
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",78.38,37
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Algebra I",98.44,64
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Algebra I",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Geometry",100,30
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Geometry",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Mathematics",69.57,46
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Mathematics",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Algebra I",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Geometry",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Mathematics",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Algebra I",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Mathematics",63.64,22
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Algebra I",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Geometry",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Mathematics",90,10
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Algebra I",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Mathematics",NA,NA
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Algebra I",100,50
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Geometry",100,27
"2011-2012",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Mathematics",64.71,17
"2011-2012",69,"Jackson P. Burley Middle","All Students","Algebra I",95.45,66
"2011-2012",69,"Jackson P. Burley Middle","All Students","Geometry",100,32
"2011-2012",69,"Jackson P. Burley Middle","All Students","Mathematics",42.86,56
"2011-2012",69,"Jackson P. Burley Middle","Economically Advantaged","Algebra I",98.04,51
"2011-2012",69,"Jackson P. Burley Middle","Economically Disadvantaged","Algebra I",86.67,15
"2011-2012",69,"Jackson P. Burley Middle","Economically Advantaged","Geometry",100,30
"2011-2012",69,"Jackson P. Burley Middle","Economically Disadvantaged","Geometry",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Economically Advantaged","Mathematics",55.17,29
"2011-2012",69,"Jackson P. Burley Middle","Economically Disadvantaged","Mathematics",29.63,27
"2011-2012",69,"Jackson P. Burley Middle","Non-English Learners","Algebra I",95.08,61
"2011-2012",69,"Jackson P. Burley Middle","English Learners","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Non-English Learners","Geometry",100,30
"2011-2012",69,"Jackson P. Burley Middle","Non-English Learners","Mathematics",44.9,49
"2011-2012",69,"Jackson P. Burley Middle","English Learners","Mathematics",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","American Indian","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Asian","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Asian","Geometry",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Black","Geometry",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Black","Mathematics",NA,20
"2011-2012",69,"Jackson P. Burley Middle","Hispanic","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Hispanic","Geometry",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Multiple Races","Algebra I",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","Multiple Races","Mathematics",NA,NA
"2011-2012",69,"Jackson P. Burley Middle","White","Algebra I",97.67,43
"2011-2012",69,"Jackson P. Burley Middle","White","Geometry",100,26
"2011-2012",69,"Jackson P. Burley Middle","White","Mathematics",60.87,23
"2011-2012",942,"Joseph T. Henley Middle","All Students","Algebra I",99.09,110
"2011-2012",942,"Joseph T. Henley Middle","All Students","Geometry",100,50
"2011-2012",942,"Joseph T. Henley Middle","All Students","Mathematics",96.36,110
"2011-2012",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",100,106
"2011-2012",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,48
"2011-2012",942,"Joseph T. Henley Middle","Economically Disadvantaged","Geometry",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",96.34,82
"2011-2012",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",96.43,28
"2011-2012",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",99.08,109
"2011-2012",942,"Joseph T. Henley Middle","English Learners","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,50
"2011-2012",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",96.33,109
"2011-2012",942,"Joseph T. Henley Middle","English Learners","Mathematics",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Asian","Geometry",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Asian","Mathematics",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Black","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Black","Mathematics",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Hispanic","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Hispanic","Geometry",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Hispanic","Mathematics",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Multiple Races","Algebra I",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Multiple Races","Geometry",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","Multiple Races","Mathematics",NA,NA
"2011-2012",942,"Joseph T. Henley Middle","White","Algebra I",98.98,98
"2011-2012",942,"Joseph T. Henley Middle","White","Geometry",100,39
"2011-2012",942,"Joseph T. Henley Middle","White","Mathematics",95.79,95
"2011-2012",20,"Leslie H. Walton Middle","All Students","Algebra I",75.86,29
"2011-2012",20,"Leslie H. Walton Middle","All Students","Geometry",100,40
"2011-2012",20,"Leslie H. Walton Middle","All Students","Mathematics",41.82,55
"2011-2012",20,"Leslie H. Walton Middle","Economically Advantaged","Algebra I",73.08,26
"2011-2012",20,"Leslie H. Walton Middle","Economically Disadvantaged","Algebra I",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Economically Advantaged","Geometry",100,34
"2011-2012",20,"Leslie H. Walton Middle","Economically Disadvantaged","Geometry",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Economically Advantaged","Mathematics",50,28
"2011-2012",20,"Leslie H. Walton Middle","Economically Disadvantaged","Mathematics",33.33,27
"2011-2012",20,"Leslie H. Walton Middle","Non-English Learners","Algebra I",75.86,29
"2011-2012",20,"Leslie H. Walton Middle","Non-English Learners","Geometry",100,40
"2011-2012",20,"Leslie H. Walton Middle","Non-English Learners","Mathematics",41.82,55
"2011-2012",20,"Leslie H. Walton Middle","Asian","Geometry",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Asian","Mathematics",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Black","Algebra I",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Black","Geometry",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Black","Mathematics",NA,14
"2011-2012",20,"Leslie H. Walton Middle","Hispanic","Algebra I",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Multiple Races","Algebra I",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Multiple Races","Geometry",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","Multiple Races","Mathematics",NA,NA
"2011-2012",20,"Leslie H. Walton Middle","White","Algebra I",73.08,26
"2011-2012",20,"Leslie H. Walton Middle","White","Geometry",100,35
"2011-2012",20,"Leslie H. Walton Middle","White","Mathematics",39.47,38
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Algebra I",95.45,66
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Geometry",100,69
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Mathematics",50,44
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Algebra I",94.92,59
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Algebra I",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Geometry",100,69
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Mathematics",50,26
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Mathematics",50,18
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Algebra I",95.38,65
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Geometry",100,68
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Mathematics",51.22,41
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","English Learners","Mathematics",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","American Indian","Mathematics",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Algebra I",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Geometry",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Mathematics",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Algebra I",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Geometry",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Mathematics",NA,11
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Algebra I",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Geometry",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Mathematics",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Native Hawaiian  or Pacific Islander","Geometry",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Algebra I",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Geometry",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Mathematics",NA,NA
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Algebra I",96.3,54
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Geometry",100,56
"2011-2012",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Mathematics",42.86,21
"2011-2012",NA,"Virginia","All Students","Algebra I",88.31,38212
"2011-2012",NA,"Virginia","All Students","Geometry",95.66,10460
"2011-2012",NA,"Virginia","All Students","Mathematics",49.36,39897
"2011-2012",NA,"Virginia","Economically Advantaged","Algebra I",91.8,27712
"2011-2012",NA,"Virginia","Economically Advantaged","Geometry",98.12,8526
"2011-2012",NA,"Virginia","Economically Advantaged","Mathematics",58.25,19808
"2011-2012",NA,"Virginia","Economically Disadvantaged","Algebra I",79.09,10500
"2011-2012",NA,"Virginia","Economically Disadvantaged","Geometry",84.8,1934
"2011-2012",NA,"Virginia","Economically Disadvantaged","Mathematics",40.58,20089
"2011-2012",NA,"Virginia","Non-English Learners","Algebra I",88.41,35908
"2011-2012",NA,"Virginia","Non-English Learners","Geometry",95.71,10229
"2011-2012",NA,"Virginia","Non-English Learners","Mathematics",49.69,35938
"2011-2012",NA,"Virginia","English Learners","Algebra I",79.8,1228
"2011-2012",NA,"Virginia","English Learners","Geometry",81.43,70
"2011-2012",NA,"Virginia","English Learners","Mathematics",42.54,3418
"2011-2012",NA,"Virginia","American Indian","Algebra I",86.41,103
"2011-2012",NA,"Virginia","American Indian","Geometry",90,20
"2011-2012",NA,"Virginia","American Indian","Mathematics",55.32,141
"2011-2012",NA,"Virginia","Asian","Algebra I",96.68,2799
"2011-2012",NA,"Virginia","Asian","Geometry",100,1386
"2011-2012",NA,"Virginia","Asian","Mathematics",66.24,1093
"2011-2012",NA,"Virginia","Black","Algebra I",79.25,7344
"2011-2012",NA,"Virginia","Black","Geometry",83.81,1754
"2011-2012",NA,"Virginia","Black","Mathematics",36.29,12077
"2011-2012",NA,"Virginia","Hispanic","Algebra I",84.12,3533
"2011-2012",NA,"Virginia","Hispanic","Geometry",93.72,589
"2011-2012",NA,"Virginia","Hispanic","Mathematics",48.28,5162
"2011-2012",NA,"Virginia","White","Algebra I",90.69,22809
"2011-2012",NA,"Virginia","White","Geometry",98.34,6193
"2011-2012",NA,"Virginia","White","Mathematics",56.24,19830
"2011-2012",NA,"Virginia","Native Hawaiian  or Pacific Islander","Algebra I",90.57,53
"2011-2012",NA,"Virginia","Native Hawaiian  or Pacific Islander","Geometry",100,23
"2011-2012",NA,"Virginia","Native Hawaiian  or Pacific Islander","Mathematics",62.96,54
"2011-2012",NA,"Virginia","Multiple Races","Algebra I",90.64,1571
"2011-2012",NA,"Virginia","Multiple Races","Geometry",95.35,495
"2011-2012",NA,"Virginia","Multiple Races","Mathematics",53.83,1540
"2012-2013",NA,"Albemarle County","All Students","Algebra I",95.94,345
"2012-2013",NA,"Albemarle County","All Students","Geometry",100,257
"2012-2013",NA,"Albemarle County","All Students","Mathematics",53.47,331
"2012-2013",NA,"Albemarle County","Economically Advantaged","Algebra I",96.54,289
"2012-2013",NA,"Albemarle County","Economically Advantaged","Geometry",100,238
"2012-2013",NA,"Albemarle County","Economically Advantaged","Mathematics",64,175
"2012-2013",NA,"Albemarle County","Economically Disadvantaged","Algebra I",92.86,56
"2012-2013",NA,"Albemarle County","Economically Disadvantaged","Geometry",100,19
"2012-2013",NA,"Albemarle County","Economically Disadvantaged","Mathematics",41.67,156
"2012-2013",NA,"Albemarle County","Non-English Learners","Algebra I",95.87,339
"2012-2013",NA,"Albemarle County","Non-English Learners","Geometry",100,254
"2012-2013",NA,"Albemarle County","Non-English Learners","Mathematics",53.95,304
"2012-2013",NA,"Albemarle County","English Learners","Algebra I",NA,NA
"2012-2013",NA,"Albemarle County","English Learners","Geometry",NA,NA
"2012-2013",NA,"Albemarle County","English Learners","Mathematics",48.15,27
"2012-2013",NA,"Albemarle County","American Indian","Algebra I",NA,NA
"2012-2013",NA,"Albemarle County","American Indian","Mathematics",NA,NA
"2012-2013",NA,"Albemarle County","Asian","Algebra I",100,13
"2012-2013",NA,"Albemarle County","Asian","Geometry",100,17
"2012-2013",NA,"Albemarle County","Asian","Mathematics",NA,NA
"2012-2013",NA,"Albemarle County","Black","Algebra I",85.19,27
"2012-2013",NA,"Albemarle County","Black","Geometry",NA,NA
"2012-2013",NA,"Albemarle County","Black","Mathematics",45.78,83
"2012-2013",NA,"Albemarle County","Hispanic","Algebra I",93.55,31
"2012-2013",NA,"Albemarle County","Hispanic","Geometry",NA,NA
"2012-2013",NA,"Albemarle County","Hispanic","Mathematics",43.33,30
"2012-2013",NA,"Albemarle County","White","Algebra I",97.25,255
"2012-2013",NA,"Albemarle County","White","Geometry",100,218
"2012-2013",NA,"Albemarle County","White","Mathematics",56.52,184
"2012-2013",NA,"Albemarle County","Multiple Races","Algebra I",94.12,17
"2012-2013",NA,"Albemarle County","Multiple Races","Geometry",100,11
"2012-2013",NA,"Albemarle County","Multiple Races","Mathematics",66.67,24
"2012-2013",1060,"Albemarle County Community Public Charter","All Students","Mathematics",NA,18
"2012-2013",1060,"Albemarle County Community Public Charter","Economically Advantaged","Mathematics",NA,15
"2012-2013",1060,"Albemarle County Community Public Charter","Economically Disadvantaged","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","Non-English Learners","Mathematics",NA,17
"2012-2013",1060,"Albemarle County Community Public Charter","English Learners","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","American Indian","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","Black","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","Hispanic","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","Multiple Races","Mathematics",NA,NA
"2012-2013",1060,"Albemarle County Community Public Charter","White","Mathematics",NA,14
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",86.89,61
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,41
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",52.31,65
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",86.36,44
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",88.24,17
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,35
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",69.57,23
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",42.86,42
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Algebra I",86.21,58
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Geometry",100,40
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Mathematics",49.02,51
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Mathematics",64.29,14
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","American Indian","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","American Indian","Mathematics",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Mathematics",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Mathematics",35.71,28
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Mathematics",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Algebra I",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Geometry",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Mathematics",NA,NA
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Algebra I",91.67,36
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Geometry",100,29
"2012-2013",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Mathematics",75,20
"2012-2013",69,"Jackson P. Burley Middle","All Students","Algebra I",98.15,54
"2012-2013",69,"Jackson P. Burley Middle","All Students","Geometry",100,39
"2012-2013",69,"Jackson P. Burley Middle","All Students","Mathematics",58.82,68
"2012-2013",69,"Jackson P. Burley Middle","Economically Advantaged","Algebra I",97.37,38
"2012-2013",69,"Jackson P. Burley Middle","Economically Disadvantaged","Algebra I",100,16
"2012-2013",69,"Jackson P. Burley Middle","Economically Advantaged","Geometry",100,38
"2012-2013",69,"Jackson P. Burley Middle","Economically Disadvantaged","Geometry",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Economically Advantaged","Mathematics",66.67,27
"2012-2013",69,"Jackson P. Burley Middle","Economically Disadvantaged","Mathematics",53.66,41
"2012-2013",69,"Jackson P. Burley Middle","Non-English Learners","Algebra I",98.08,52
"2012-2013",69,"Jackson P. Burley Middle","English Learners","Algebra I",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Non-English Learners","Geometry",100,38
"2012-2013",69,"Jackson P. Burley Middle","Non-English Learners","Mathematics",63.33,60
"2012-2013",69,"Jackson P. Burley Middle","English Learners","Mathematics",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Asian","Algebra I",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Asian","Geometry",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Black","Mathematics",66.67,21
"2012-2013",69,"Jackson P. Burley Middle","Hispanic","Algebra I",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,12
"2012-2013",69,"Jackson P. Burley Middle","Multiple Races","Algebra I",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","Multiple Races","Mathematics",NA,NA
"2012-2013",69,"Jackson P. Burley Middle","White","Algebra I",97.06,34
"2012-2013",69,"Jackson P. Burley Middle","White","Geometry",100,35
"2012-2013",69,"Jackson P. Burley Middle","White","Mathematics",55.56,27
"2012-2013",942,"Joseph T. Henley Middle","All Students","Algebra I",97.46,118
"2012-2013",942,"Joseph T. Henley Middle","All Students","Geometry",100,53
"2012-2013",942,"Joseph T. Henley Middle","All Students","Mathematics",78.69,61
"2012-2013",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",98.23,113
"2012-2013",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2012-2013",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,52
"2012-2013",942,"Joseph T. Henley Middle","Economically Disadvantaged","Geometry",NA,NA
"2012-2013",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",92.86,42
"2012-2013",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",NA,19
"2012-2013",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",97.46,118
"2012-2013",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,53
"2012-2013",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",81.03,58
"2012-2013",942,"Joseph T. Henley Middle","English Learners","Mathematics",NA,NA
"2012-2013",942,"Joseph T. Henley Middle","American Indian","Algebra I",NA,NA
"2012-2013",942,"Joseph T. Henley Middle","American Indian","Mathematics",NA,NA
"2012-2013",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
