"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2005-2006",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2005-2006",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2005-2006",69,"Jackson P. Burley Middle","Black","Mathematics",62.5,24
"2005-2006",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,NA
"2005-2006",69,"Jackson P. Burley Middle","Unknown Race","Mathematics",NA,NA
"2005-2006",69,"Jackson P. Burley Middle","White","Algebra I",100,13
"2005-2006",69,"Jackson P. Burley Middle","White","Geometry",100,23
"2005-2006",69,"Jackson P. Burley Middle","White","Mathematics",91.78,73
"2005-2006",942,"Joseph T. Henley Middle","All Students","Algebra I",100,87
"2005-2006",942,"Joseph T. Henley Middle","All Students","Geometry",100,29
"2005-2006",942,"Joseph T. Henley Middle","All Students","Mathematics",87.61,234
"2005-2006",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",100,86
"2005-2006",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,28
"2005-2006",942,"Joseph T. Henley Middle","Economically Disadvantaged","Geometry",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",91.55,213
"2005-2006",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",47.62,21
"2005-2006",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",100,87
"2005-2006",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,28
"2005-2006",942,"Joseph T. Henley Middle","English Learners","Geometry",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",87.72,228
"2005-2006",942,"Joseph T. Henley Middle","English Learners","Mathematics",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Asian","Geometry",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Asian","Mathematics",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Black","Mathematics",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","Hispanic","Mathematics",NA,NA
"2005-2006",942,"Joseph T. Henley Middle","White","Algebra I",100,83
"2005-2006",942,"Joseph T. Henley Middle","White","Geometry",100,24
"2005-2006",942,"Joseph T. Henley Middle","White","Mathematics",88.53,218
"2005-2006",20,"Leslie H. Walton Middle","All Students","Algebra I",100,51
"2005-2006",20,"Leslie H. Walton Middle","All Students","Geometry",100,27
"2005-2006",20,"Leslie H. Walton Middle","All Students","Mathematics",79.88,164
"2005-2006",20,"Leslie H. Walton Middle","Economically Advantaged","Algebra I",100,42
"2005-2006",20,"Leslie H. Walton Middle","Economically Disadvantaged","Algebra I",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Economically Advantaged","Geometry",100,25
"2005-2006",20,"Leslie H. Walton Middle","Economically Disadvantaged","Geometry",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Economically Advantaged","Mathematics",84.92,126
"2005-2006",20,"Leslie H. Walton Middle","Economically Disadvantaged","Mathematics",63.16,38
"2005-2006",20,"Leslie H. Walton Middle","Non-English Learners","Algebra I",100,48
