School Year,Division Number,Division Name,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2015-2016,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2015-2016,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              45,    48.89
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             343,    94.46
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             245,100.00
2016-2017,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             262,    66.03
2016-2017,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2016-2017,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              43,    51.16
2017-2018,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             351,    94.30
2017-2018,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             247,100.00
2017-2018,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             298,    57.38
2017-2018,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2017-2018,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2017-2018,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              40,    35.00
2018-2019,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             388,    97.68
2018-2019,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             266,100.00
2018-2019,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             297,    66.33
2018-2019,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2018-2019,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              29,    44.83
2020-2021,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             189,    70.90
2020-2021,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             143,    94.41
2020-2021,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,              41,    21.95
2020-2021,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2020-2021,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2020-2021,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              13,<50
2021-2022,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             306,    86.93
2021-2022,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             296,    98.65
2021-2022,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             303,    34.65
2021-2022,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2021-2022,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2021-2022,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              72,     8.33
